Date;Transmitter;Window;
;;Maximum [h];Effective [h]
2016-05-19;DHO 23.4;12;12
2016-05-19;GBZ 19.6;12;12
2016-05-19;GQD 22.1;12;12
2016-05-19;HWU 21.8;12;12
2016-05-19;ICV 20.3;12;12
2016-05-18;DHO 23.4;12;12
2016-05-18;GBZ 19.6;12;12
2016-05-18;GQD 22.1;12;12
2016-05-18;HWU 21.8;12;12
2016-05-18;ICV 20.3;12;12
2016-05-17;DHO 23.4;12;12
2016-05-17;GBZ 19.6;12;12
2016-05-17;GQD 22.1;12;12
2016-05-17;HWU 21.8;12;12
2016-05-17;ICV 20.3;12;12
2016-05-16;DHO 23.4;12;12
2016-05-16;GBZ 19.6;12;12
2016-05-16;GQD 22.1;12;12
2016-05-16;HWU 21.8;12;12
2016-05-16;ICV 20.3;12;12
2016-05-15;DHO 23.4;12;12
2016-05-15;GBZ 19.6;12;12
2016-05-15;GQD 22.1;12;12
2016-05-15;HWU 21.8;12;12
2016-05-15;ICV 20.3;12;12
2016-05-14;DHO 23.4;12;12
2016-05-14;GBZ 19.6;12;12
2016-05-14;GQD 22.1;12;12
2016-05-14;HWU 21.8;12;12
2016-05-14;ICV 20.3;12;12
2016-05-13;DHO 23.4;12;12
2016-05-13;GBZ 19.6;12;12
2016-05-13;GQD 22.1;12;12
2016-05-13;HWU 21.8;12;12
2016-05-13;ICV 20.3;12;12
2016-05-12;DHO 23.4;12;12
2016-05-12;GBZ 19.6;12;12
2016-05-12;GQD 22.1;12;12
2016-05-12;HWU 21.8;12;12
2016-05-12;ICV 20.3;12;12
2016-05-11;DHO 23.4;12;12
2016-05-11;GBZ 19.6;12;12
2016-05-11;GQD 22.1;12;12
2016-05-11;HWU 21.8;12;12
2016-05-11;ICV 20.3;12;12
2016-05-10;DHO 23.4;12;12
2016-05-10;GBZ 19.6;12;12
2016-05-10;GQD 22.1;12;12
2016-05-10;HWU 21.8;12;12
2016-05-10;ICV 20.3;12;12
2016-05-09;DHO 23.4;12;12
2016-05-09;GBZ 19.6;12;12
2016-05-09;GQD 22.1;12;12
2016-05-09;HWU 21.8;12;12
2016-05-09;ICV 20.3;12;12
2016-05-08;DHO 23.4;12;12
2016-05-08;GBZ 19.6;12;12
2016-05-08;GQD 22.1;12;12
2016-05-08;HWU 21.8;12;12
2016-05-08;ICV 20.3;12;12
2016-05-07;DHO 23.4;12;12
2016-05-07;GBZ 19.6;12;12
2016-05-07;GQD 22.1;12;12
2016-05-07;HWU 21.8;12;12
2016-05-07;ICV 20.3;12;12
2016-05-06;DHO 23.4;12;12
2016-05-06;GBZ 19.6;12;12
2016-05-06;GQD 22.1;12;12
2016-05-06;HWU 21.8;12;12
2016-05-06;ICV 20.3;12;12
2016-05-05;DHO 23.4;12;12
2016-05-05;GBZ 19.6;12;12
2016-05-05;GQD 22.1;12;12
2016-05-05;HWU 21.8;12;12
2016-05-05;ICV 20.3;12;12
2016-05-04;DHO 23.4;12;12
2016-05-04;GBZ 19.6;12;12
2016-05-04;GQD 22.1;12;12
2016-05-04;HWU 21.8;12;12
2016-05-04;ICV 20.3;12;12
2016-05-03;DHO 23.4;12;12
2016-05-03;GBZ 19.6;12;12
2016-05-03;GQD 22.1;12;12
2016-05-03;HWU 21.8;12;12
2016-05-03;ICV 20.3;12;12
2016-05-02;DHO 23.4;12;12
2016-05-02;GBZ 19.6;12;12
2016-05-02;GQD 22.1;12;12
2016-05-02;HWU 21.8;12;12
2016-05-02;ICV 20.3;12;12
2016-05-01;DHO 23.4;12;12
