Date;Begin;;Maximum;;End;;Duration;Definition;Transmitter
;Time [UT];Qualifier;Time [UT];Qualifier;Time [UT];Qualifier;;;
2015-09-28;11:23;;11:36;;12:29;D;1h 6m;5;GQD 22.1
2015-09-28;8:41;;9:03;;9:51;;1h 10m;5;GQD 22.1
2015-09-28;7:25;;7:38;;8:39;;1h 14m;5;GQD 22.1
2015-09-27;13:39;;13:49;;14:17;;38m;3;DHO 23.4
2015-09-27;12:47;;12:58;;13:25;;38m;4;DHO 23.4
2015-09-27;12:22;;12:27;;12:42;;20m;3;DHO 23.4
2015-09-27;10:32;;10:44;;12:20;;1h 48m;5;DHO 23.4
2015-09-27;15:33;;15:39;;16:12;;39m;3;GQD 22.1
2015-09-27;13:39;;13:49;;14:17;;38m;3;GQD 22.1
2015-09-27;12:47;;12:58;;13:25;;38m;4;GQD 22.1
2015-09-27;12:22;;12:27;;12:42;;20m;3;GQD 22.1
2015-09-27;10:32;;10:44;;12:20;;1h 48m;5;GQD 22.1
2015-09-20;9:33;;9:36;;10:17;;44m;4;DHO 23.4
2015-09-20;9:33;;9:36;;10:17;;44m;4;GQD 22.1
2015-09-17;9:30;;9:42;;10:58;;1h 28m;5;DHO 23.4
2015-09-17;9:30;;9:42;;10:58;;1h 28m;5;GBZ 19.6
2015-09-17;13:12;;13:35;;14:03;;51m;3;ICV 20.3
2015-09-17;9:30;;9:42;;10:58;;1h 28m;5;ICV 20.3
2015-09-16;12:43;;12:55;;13:21;;38m;3;DHO 23.4
2015-09-09;11:33;;11:40;;12:17;;44m;4;GQD 22.1
2015-08-28;13:06;;13:15;;15:04;;1h 58m;5;DHO 23.4
2015-08-28;12:46;;12:56;;13:06;D;20m;5;DHO 23.4
2015-08-28;11:25;;11:47;;12:46;D;1h 21m;5;DHO 23.4
2015-08-28;8:14;;8:25;;9:32;;1h 18m;5;DHO 23.4
2015-08-28;13:06;;13:15;;15:04;;1h 58m;5;GQD 22.1
2015-08-28;12:46;;12:56;;13:06;D;20m;5;GQD 22.1
